Replay 1|false|1443
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.488611789390859e-09,-0.1983158439397812|-2.2502032237525782e-08,1,-1.0370572312012882e-07|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.3955780975294374e-09,-0.1983158439397812|-2.1095726054909392e-08,1,-9.722445071247421e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,5.154095483739241e-10,-0.1983158439397812|-7.79103981329854e-09,1,-3.590679042986267e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-3.6363118072202383e-10,-0.1983158439397812|5.4965973994569595e-09,1,2.5332285602530646e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-9.490318531035769e-10,-0.1983158439397812|1.4345559407047404e-08,1,6.611472969098031e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.5339297609884284e-09,-0.1983158439397812|2.318695813130489e-08,1,1.0686233054002514e-07|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-9.270016976259399e-10,-0.1983158439397812|1.4012627502779651e-08,1,6.458036239109788e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-3.208531773601919e-10,-0.1983158439397812|4.850055912442031e-09,1,2.23525855602702e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,8.281295094114682e-11,-0.1983158439397812|-1.2517992198368688e-09,1,-5.769197564120532e-09|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,6.876633151797762e-10,-0.1983158439397812|-1.0394805016744613e-08,1,-4.790681984445655e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.2917383829247342e-09,-0.1983158439397812|-1.9526092742694345e-08,1,-8.99904364359827e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.6940255864739129e-09,-0.1983158439397812|-2.5607114650938456e-08,1,-1.1801621724316647e-07|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,8.108440030518693e-10,-0.1983158439397812|-1.225682577654652e-08,1,-5.648837131388973e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,2.226835660312787e-10,-0.1983158439397812|-3.3661378129323793e-09,1,-1.5513618834006593e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-6.5861482934082e-10,-0.1983158439397812|9.955650526194404e-09,1,4.5882863730639656e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.2455171338743298e-09,-0.1983158439397812|1.88273556744889e-08,1,8.677013596525285e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.1327394577875793e-09,-0.1983158439397812|1.7122605555641712e-08,1,7.89134162459959e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-5.243301903767872e-10,-0.1983158439397812|7.925804901276479e-09,1,3.6527865177049534e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.1915823883157373e-10,-0.1983158439397812|1.8011552249674878e-09,1,8.301014986500377e-09|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,4.87948459415577e-10,-0.1983158439397812|-7.376006028181337e-09,1,-3.399404135961959e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,8.922527716670459e-10,-0.1983158439397812|-1.3487578165438663e-08,1,-6.216063042074893e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.4980624518656782e-09,-0.1983158439397812|-2.2645144426292063e-08,1,-1.0436537678515379e-07|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,1.4042839113770356e-09,-0.1983158439397812|-2.1227544166890766e-08,1,-9.783203580582267e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,5.184099816091248e-10,-0.1983158439397812|-7.836452375897807e-09,1,-3.6116109214390235e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-3.663299663614339e-10,-0.1983158439397812|5.537478475758917e-09,1,2.5520725088767904e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-9.555257696192143e-10,-0.1983158439397812|1.4443908291639218e-08,1,6.656805595639526e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-1.3404232168667818e-09,-0.1983158439397812|2.0262177713448182e-08,1,9.338290851701458e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-9.331010408786256e-10,-0.1983158439397812|1.4105030921029993e-08,1,6.500629723404927e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,-3.227716149911686e-10,-0.1983158439397812|4.879177950556368e-09,1,2.248684261019207e-08|Running
2550.749267578125,42.62052917480469,-414.7767028808594|0.9801381826400757,8.367872367243123e-11,-0.1983158439397812|-1.2648199154696727e-09,1,-5.829183802319449e-09|Running
